State,Value
--------X,0.0
-------OX,0.0
-------X-,0.0
-------XO,0.0
------O-X,0.0
------OX-,0.0
------OXX,0.0
------X--,0.0
------X-O,0.0
------XO-,0.0
------XOX,0.0
------XXO,0.0
-----O--X,0.0
-----O-X-,0.0
-----O-XX,0.0
-----OOXX,0.0
-----OX--,0.0
-----OX-X,0.0
-----OXOX,0.0
-----OXX-,0.0
-----OXXO,0.0
-----X---,0.0
-----X--O,0.0
-----X-O-,0.0
-----X-OX,0.0
-----X-XO,0.0
-----XO--,0.0
-----XO-X,0.0
-----XOX-,0.0
-----XX-O,0.0
-----XXO-,0.0
-----XXOO,0.0
----O---X,0.0
----O--X-,0.0
----O--XX,0.0
----O-OXX,0.0
----O-X--,0.0
----O-XX-,0.0
----O-XXO,0.0
----OO-XX,0.0
----OOXX-,0.0
----OX---,0.0
----OX--X,0.0
----OX-X-,0.0
----OXOX-,0.0
----OXX--,0.0
----OXX-O,0.0
----OXXO-,0.0
----X----,0.0
----X---O,0.0
----X--O-,0.0
----X--OX,0.0
----X--XO,0.0
----X-O--,0.0
----X-O-X,0.0
----X-OOX,1.0
----X-OX-,0.0
----X-OXO,1.0
----X-X-O,0.0
----X-XO-,0.0
----XO---,0.0
----XO--X,0.0
----XO-OX,0.0
----XO-X-,0.0
----XO-XO,0.0
----XOO-X,1.0
----XOOX-,1.0
----XOX--,0.0
----XOX-O,2.0
----XOXO-,0.0
----XOXOX,0.0
----XX--O,0.0
----XX-O-,0.0
----XXO--,0.0
----XXO-O,0.0
----XXOO-,0.0
----XXOXO,0.0
----XXXOO,0.0
---O----X,0.0
---O---X-,0.0
---O---XX,0.0
---O--OXX,0.0
---O--X--,0.0
---O--XOX,0.0
---O--XX-,0.0
---O-O-XX,1.0
---O-OX-X,2.0
---O-OXX-,1.0
---O-OXXX,2.0
---O-X---,0.0
---O-X--X,0.0
---O-X-OX,0.0
---O-X-X-,0.0
---O-X-XO,0.0
---O-XO-X,1.0
---O-XOX-,0.0
---O-XX--,0.0
---O-XX-O,0.0
---O-XXO-,0.0
---O-XXOX,0.0
---OO--XX,1.0
---OO-XX-,1.0
---OO-XXX,1.0
---OOOXXX,4.0
---OOX--X,0.0
---OOXX--,0.0
---OOXX-X,0.0
---OOXXOX,0.0
---OX----,0.0
---OX---X,0.0
---OX--OX,1.0
---OX--X-,0.0
---OX--XO,0.0
---OX-O-X,0.0
---OX-OX-,1.0
---OX-OXX,0.0
---OX-X--,0.0
---OX-X-O,0.0
---OX-XO-,1.0
---OX-XOX,0.0
---OX-XXO,0.0
---OXO--X,0.0
---OXO-X-,1.0
---OXOX--,0.0
---OXOXOX,1.0
---OXOXX-,0.0
---OXX---,0.0
---OXX--O,0.0
---OXX-O-,0.0
---OXX-OX,0.0
---OXX-XO,0.0
---OXXO--,0.0
---OXXOX-,0.0
---OXXOXO,3.0
---OXXXO-,0.0
---X-----,0.0
---X----O,0.0
---X---O-,0.0
---X---OX,0.0
---X---XO,0.0
---X--O--,0.0
---X--O-X,0.0
---X--OOX,0.0
---X--OX-,0.0
---X--OXO,0.0
---X--X-O,0.0
---X--XO-,0.0
---X--XOO,0.0
---X-O---,0.0
---X-O--X,0.0
---X-O-OX,0.0
---X-O-X-,0.0
---X-OO-X,0.0
---X-OOXX,0.0
---X-OX--,0.0
---X-OX-O,0.0
---X-OXO-,1.0
---X-OXOX,0.0
---X-OXXO,-1.0
---X-X--O,0.0
---X-X-O-,0.0
---X-X-OO,0.0
---X-XO--,0.0
---X-XOO-,0.0
---X-XXOO,0.0
---XO----,0.0
---XO---X,0.0
---XO--OX,0.0
---XO--X-,0.0
---XO--XO,0.0
---XO-OX-,0.0
---XO-X--,0.0
---XO-X-O,1.0
---XOO--X,0.0
---XOOOXX,0.0
---XOOX--,0.0
---XOOXOX,0.0
---XOOXX-,0.0
---XOX---,0.0
---XOXXO-,0.0
---XOXXOO,0.0
---XX---O,0.0
---XX--O-,0.0
---XX--OO,0.0
---XX-O--,0.0
---XX-O-O,0.0
---XX-OO-,0.0
---XX-OXO,0.0
---XXO---,0.0
---XXO-O-,0.0
---XXO-OX,0.0
---XXOO-X,0.0
---XXOOX-,0.0
---XXOOXO,0.0
---XXOX-O,0.0
---XXOXO-,0.0
---XXX-OO,1.0
--O-----X,0.0
--O----X-,0.0
--O----XX,0.0
--O---OXX,0.0
--O---X--,0.0
--O---X-X,0.0
--O---XOX,0.0
--O---XX-,0.0
--O---XXO,0.0
--O--O-XX,1.0
--O--OX-X,1.0
--O--OXXX,1.0
--O--X---,0.0
--O--X--X,0.0
--O--X-OX,0.0
--O--X-X-,0.0
--O--XO-X,0.0
--O--XOX-,0.0
--O--XOXX,0.0
--O--XX--,0.0
--O--XXO-,0.0
--O--XXXO,0.0
--O-OX-X-,0.0
--O-OXOXX,-1.0
--O-OXX--,0.0
--O-OXXX-,0.0
--O-X----,0.0
--O-X---X,0.0
--O-X--OX,1.0
--O-X--X-,0.0
--O-X--XO,0.0
--O-X-O-X,1.0
--O-X-OX-,0.0
--O-X-OXX,0.0
--O-X-X--,0.0
--O-X-XO-,0.0
--O-X-XOX,0.0
--O-X-XXO,0.0
--O-XO-X-,0.0
--O-XOX--,0.0
--O-XOXOX,0.0
--O-XX---,0.0
--O-XX-OX,0.0
--O-XXO--,0.0
--O-XXO-X,0.0
--O-XXOOX,1.0
--O-XXOX-,0.0
--OO---XX,0.0
--OO--XX-,1.0
--OO--XXX,1.0
--OO-OXXX,1.0
--OO-X-X-,0.0
--OO-XX--,0.0
--OO-XXX-,0.0
--OO-XXXO,0.0
--OOO-XXX,2.0
--OOOXXX-,0.0
--OOX---X,2.0
--OOX--XX,0.0
--OOX-X--,0.0
--OOX-XOX,0.0
--OOX-XXO,0.0
--OOXO-XX,2.0
--OOXOXXX,2.0
--OOXX---,0.0
--OOXX--X,0.0
--OOXX-OX,0.0
--OOXX-XO,0.0
--OOXXOX-,0.0
--OOXXXOX,0.0
--OOXXXXO,0.0
--OX-----,0.0
--OX----X,0.0
--OX---X-,0.0
--OX--OX-,0.0
--OX--OXX,0.0
--OX--X--,0.0
--OX--X-O,0.0
--OX--XO-,0.0
--OX--XOX,0.0
--OX--XXO,0.0
--OX-O--X,0.0
--OX-O-X-,0.0
--OX-O-XX,0.0
--OX-OOXX,0.0
--OX-OX--,0.0
--OX-OX-X,0.0
--OX-OXOX,0.0
--OX-OXXO,-4.0
--OX-X---,0.0
--OX-X--O,0.0
--OX-X-O-,1.0
--OX-XO--,0.0
--OX-XO-X,0.0
--OX-XOX-,0.0
--OX-XX-O,0.0
--OXO-OXX,-1.0
--OXO-X--,0.0
--OXO-X-X,0.0
--OXO-XOX,0.0
--OXOOX-X,0.0
--OXOOXX-,0.0
--OXOOXXX,1.0
--OXOX---,0.0
--OXOXOXX,-3.0
--OXOXX--,0.0
--OXOXX-O,0.0
--OXOXXXO,0.0
--OXX----,0.0
--OXX--O-,1.0
--OXX-O--,0.0
--OXX-O-X,0.0
--OXX-OX-,0.0
--OXX-XO-,0.0
--OXXO--X,0.0
--OXXOO-X,0.0
--OXXOOX-,1.0
--OXXOOXX,1.0
--OXXOX--,-2.0
--OXXOX-O,-2.0
--OXXOXO-,0.0
--OXXOXOX,0.0
--OXXOXXO,-3.0
--OXXX-O-,1.0
--OXXXOO-,2.0
--X------,0.0
--X-----O,0.0
--X----O-,0.0
--X----OX,0.0
--X----XO,0.0
--X---O--,0.0
--X---O-X,0.0
--X---OOX,0.0
--X---OX-,0.0
--X---OXO,0.0
--X---X-O,0.0
--X---XO-,0.0
--X---XOO,1.0
--X--O---,0.0
--X--O--X,0.0
--X--O-OX,0.0
--X--O-X-,0.0
--X--O-XO,0.0
--X--OO-X,0.0
--X--OOXX,0.0
--X--OX--,0.0
--X--OX-O,0.0
--X--X--O,0.0
--X--X-O-,0.0
--X--X-OO,0.0
--X--XO--,0.0
--X--XO-O,0.0
--X--XOXO,0.0
--X--XXOO,0.0
--X-O----,0.0
--X-O---X,0.0
--X-O--OX,0.0
--X-O--X-,0.0
--X-O--XO,0.0
--X-O-O-X,0.0
--X-O-OX-,0.0
--X-O-X--,0.0
--X-O-X-O,0.0
